file;manager;license;author;source;modified
aaron-ramsdale.jpg;Aaron Ramsdale;CC BY 3.0;AFC Bournemouth;https://commons.wikimedia.org/wiki/File:Aaron_Ramsdale_2019_(cropped).png;cropped to the head and resized to 320px
abelardo-fernandez.jpg;Abelardo Fernández;CC BY-SA 3.0;Asturkian;https://commons.wikimedia.org/wiki/File:Abelardo_with_Sporting_Gij%C3%B3n.jpg;cropped to the head and resized to 320px
achraf-hakimi.jpg;Achraf Hakimi;CC BY-SA 4.0;Bryan Berlin;https://commons.wikimedia.org/wiki/File:Achraf_Hakimi_Morocco_v_Norway_7_June_2026-16.jpg;cropped to the head and resized to 320px
adel-taarabt.jpg;Adel Taarabt;CC BY-SA 3.0;Anton Zaitsev;https://commons.wikimedia.org/wiki/File:Taarabt_Benfica-Zenit_UCL201920_8.jpg;cropped to the head and resized to 320px
adrian-mutu.jpg;Adrian Mutu;CC BY-SA 2.0;Nuță Lucian;https://commons.wikimedia.org/wiki/File:Adrian_Mutu_at_Sports_Festival_2025_(2).jpg;cropped to the head and resized to 320px
aitor-karanka.jpg;Aitor Karanka;CC BY-SA 3.0;Christophe95;https://commons.wikimedia.org/wiki/File:Aitor_Karanka.jpg;cropped to the head and resized to 320px
akira-nishino.jpg;Akira Nishino;CC BY-SA 3.0;Светлана Бекетова;https://commons.wikimedia.org/wiki/File:Akira_Nishino_2018_(cropped).jpg;cropped to the head and resized to 320px
alain-giresse.jpg;Alain Giresse;CC BY 2.0;mustapha_ennaimi;https://commons.wikimedia.org/wiki/File:Morocco_vs_Gabon,_Alain_Giresse,_March_28_2009.jpg;cropped to the head and resized to 320px
alan-shearer.jpg;Alan Shearer;CC BY-SA 2.0;Originally carltonreid , retouched by DFS454;https://commons.wikimedia.org/wiki/File:Alan_Shearer_2008.jpg;cropped to the head and resized to 320px
albert-riera.jpg;Albert Riera;CC BY-SA 3.0;Ultraslansi;https://commons.wikimedia.org/wiki/File:ALBERTR%C4%B0ERAORTEGA.JPG;cropped to the head and resized to 320px
alberto-aquilani.jpg;Alberto Aquilani;CC BY 2.0;md.faisalzaman from Worcester, MA;https://commons.wikimedia.org/wiki/File:Sterling,_Spearing,_Eccleston,_Aquilani,_Enrique,_Shelvey_(cropped).jpg;cropped to the head and resized to 320px
alberto-gilardino.jpg;Alberto Gilardino;CC BY-SA 3.0;Christophe95;https://commons.wikimedia.org/wiki/File:Alberto_Gilardino.jpg;cropped to the head and resized to 320px
aldair.jpg;Aldair;CC BY-SA 3.0;Christophe95;https://commons.wikimedia.org/wiki/File:Aldair.jpg;cropped to the head and resized to 320px
alejandro-garnacho.jpg;Alejandro Garnacho;CC BY-SA 4.0;Ardfern;https://commons.wikimedia.org/wiki/File:Alejandro_Garnacho_7_August_2022_(cropped).jpg;cropped to the head and resized to 320px
alessandro-del-piero.jpg;Alessandro Del Piero;CC BY-SA 2.0;Retouched by Blackcat;https://commons.wikimedia.org/wiki/File:Alessandro_Del_Piero,_New_York_NY_2015.jpg;cropped to the head and resized to 320px
alessandro-nesta.jpg;Alessandro Nesta;CC BY-SA 4.0;Joerudi;https://commons.wikimedia.org/wiki/File:Alessandro_Nesta_as_Miami_FC_Manager.jpg;cropped to the head and resized to 320px
alex-ferguson.jpg;Alex Ferguson;CC BY 2.0;Austin Osuide;https://commons.wikimedia.org/wiki/File:Alex_Ferguson.jpg;cropped to the head and resized to 320px
alex-mcleish.jpg;Alex McLeish;CC BY-SA 3.0;Chris;https://commons.wikimedia.org/wiki/File:Alexmcleish2012.jpg;cropped to the head and resized to 320px
alexander-hleb.jpg;Alexander Hleb;CC BY-SA 3.0;SuperPhotographer;https://commons.wikimedia.org/wiki/File:Alexander_Hleb_press.jpeg;cropped to the head and resized to 320px
alexander-isak.jpg;Alexander Isak;CC BY-SA 4.0;Mikael Hervestad;https://commons.wikimedia.org/wiki/File:Alexander_Isak_-_Sweden_-_Greece21_(cropped).jpg;cropped to the head and resized to 320px
alexandre-lacazette.jpg;Alexandre Lacazette;CC BY 4.0;Amir Hosseini;https://commons.wikimedia.org/wiki/File:Alexandre_Lacazette_at_Baku_before_2019_UEFA_Europe_League_Final.jpg;cropped to the head and resized to 320px
alexis-sanchez.jpg;Alexis Sánchez;CC BY 2.0;joshjdss;https://commons.wikimedia.org/wiki/File:Alexis_Sanchez_Arsenal_Vs_Burnley_(24736448805)_(cropped)_(cropped).jpg;cropped to the head and resized to 320px
alfredo-di-stefano.jpg;Alfredo Di Stéfano;Public domain;Unknown author Unknown author;https://commons.wikimedia.org/wiki/File:Di_stefano_argentina_(cropped).jpg;cropped to the head and resized to 320px
